2015/06/26 13:00:00,1045.633,16.773
2015/06/26 13:10:00,1045.458,16.780
2015/06/26 13:20:00,1045.283,16.780
2015/06/26 13:30:00,1042.075,17.317
2015/06/26 13:40:00,1042.017,16.913
2015/06/26 13:50:00,1041.958,16.887
2015/06/26 14:00:00,1041.958,16.887
2015/06/26 14:10:00,1041.608,16.887
2015/06/26 14:20:00,1041.608,16.880
2015/06/26 14:30:00,1041.200,16.880
2015/06/26 14:40:00,1041.200,16.887
2015/06/26 14:50:00,1041.083,16.893
2015/06/26 15:00:00,1041.258,16.893
2015/06/26 15:10:00,1041.083,16.893
2015/06/26 15:20:00,1041.200,16.900
2015/06/26 15:30:00,1041.025,16.900
2015/06/26 15:40:00,1041.025,16.900
2015/06/26 15:50:00,1040.850,16.907
2015/06/26 16:00:00,1040.850,16.907
2015/06/26 16:10:00,1040.850,16.907
2015/06/26 16:20:00,1040.500,16.913
2015/06/26 16:30:00,1040.500,16.913
2015/06/26 16:40:00,1040.500,16.913
2015/06/26 16:50:00,1040.500,16.920
2015/06/26 17:00:00,1040.325,16.920
2015/06/26 17:10:00,1040.325,16.920
2015/06/26 17:20:00,1040.675,16.927
2015/06/26 17:30:00,1040.500,16.927
2015/06/26 17:40:00,1040.500,16.927
2015/06/26 17:50:00,1040.675,16.927
2015/06/26 18:00:00,1040.500,16.927
2015/06/26 18:10:00,1040.500,16.933
2015/06/26 18:20:00,1040.500,16.933
2015/06/26 18:30:00,1040.500,16.933
2015/06/26 18:40:00,1040.675,16.933
2015/06/26 18:50:00,1040.500,16.933
2015/06/26 19:00:00,1040.500,16.933
2015/06/26 19:10:00,1040.850,16.933
2015/06/26 19:20:00,1040.500,16.940
2015/06/26 19:30:00,1040.325,16.940
2015/06/26 19:40:00,1040.733,16.940
2015/06/26 19:50:00,1040.908,16.940
2015/06/26 20:00:00,1040.500,16.940
2015/06/26 20:10:00,1040.500,16.940
2015/06/26 20:20:00,1040.733,16.940
2015/06/26 20:30:00,1040.733,16.940
2015/06/26 20:40:00,1040.908,16.947
2015/06/26 20:50:00,1040.908,16.947
2015/06/26 21:00:00,1040.733,16.947
2015/06/26 21:10:00,1041.083,16.947
2015/06/26 21:20:00,1041.083,16.947
2015/06/26 21:30:00,1041.317,16.947
2015/06/26 21:40:00,1041.258,16.953
2015/06/26 21:50:00,1041.842,16.953
2015/06/26 22:00:00,1041.667,16.953
2015/06/26 22:10:00,1041.667,16.953
2015/06/26 22:20:00,1041.667,16.960
2015/06/26 22:30:00,1041.667,16.960
2015/06/26 22:40:00,1041.433,16.960
2015/06/26 22:50:00,1041.667,16.960
2015/06/26 23:00:00,1041.258,16.960
2015/06/26 23:10:00,1041.258,16.960
2015/06/26 23:20:00,1041.258,16.960
2015/06/26 23:30:00,1041.433,16.960
2015/06/26 23:40:00,1041.433,16.960
2015/06/26 23:50:00,1041.317,16.967
2015/06/27 00:00:00,1041.433,16.960
2015/06/27 00:10:00,1041.667,16.960
2015/06/27 00:20:00,1041.317,16.967
2015/06/27 00:30:00,1041.083,16.967
2015/06/27 00:40:00,1040.908,16.967
2015/06/27 00:50:00,1041.083,16.967
2015/06/27 01:00:00,1041.317,16.967
2015/06/27 01:10:00,1041.083,16.967
2015/06/27 01:20:00,1040.733,16.967
2015/06/27 01:30:00,1040.908,16.967
2015/06/27 01:40:00,1040.908,16.973
2015/06/27 01:50:00,1040.733,16.973
2015/06/27 02:00:00,1040.500,16.973
2015/06/27 02:10:00,1040.500,16.973
2015/06/27 02:20:00,1040.733,16.973
2015/06/27 02:30:00,1040.733,16.973
2015/06/27 02:40:00,1040.500,16.973
2015/06/27 02:50:00,1040.733,16.973
2015/06/27 03:00:00,1040.325,16.973
2015/06/27 03:10:00,1040.500,16.973
2015/06/27 03:20:00,1040.850,16.980
2015/06/27 03:30:00,1040.500,16.980
2015/06/27 03:40:00,1040.150,16.973
2015/06/27 03:50:00,1040.325,16.980
2015/06/27 04:00:00,1040.325,16.980
2015/06/27 04:10:00,1040.092,16.980
2015/06/27 04:20:00,1039.917,16.980
2015/06/27 04:30:00,1040.325,16.980
2015/06/27 04:40:00,1040.092,16.980
2015/06/27 04:50:00,1040.092,16.980
2015/06/27 05:00:00,1040.092,16.987
2015/06/27 05:10:00,1039.917,16.987
2015/06/27 05:20:00,1040.092,16.987
2015/06/27 05:30:00,1039.917,16.987
2015/06/27 05:40:00,1039.917,16.987
2015/06/27 05:50:00,1040.092,16.987
2015/06/27 06:00:00,1039.917,16.987
2015/06/27 06:10:00,1040.092,16.987
2015/06/27 06:20:00,1040.092,16.987
2015/06/27 06:30:00,1039.917,16.987
2015/06/27 06:40:00,1039.917,16.987
2015/06/27 06:50:00,1039.917,16.987
2015/06/27 07:00:00,1039.742,16.993
2015/06/27 07:10:00,1039.742,16.993
2015/06/27 07:20:00,1039.975,16.993
2015/06/27 07:30:00,1040.150,16.993
2015/06/27 07:40:00,1040.150,16.993
2015/06/27 07:50:00,1039.975,16.993
2015/06/27 08:00:00,1039.742,16.993
2015/06/27 08:10:00,1039.975,16.993
2015/06/27 08:20:00,1039.975,16.993
2015/06/27 08:30:00,1039.975,16.993
2015/06/27 08:40:00,1039.742,17.003
2015/06/27 08:50:00,1039.742,17.003
2015/06/27 09:00:00,1039.567,17.003
2015/06/27 09:10:00,1039.567,17.003
2015/06/27 09:20:00,1039.567,17.003
2015/06/27 09:30:00,1039.567,17.003
2015/06/27 09:40:00,1039.567,17.003
2015/06/27 09:50:00,1039.392,17.003
2015/06/27 10:00:00,1039.567,17.003
2015/06/27 10:10:00,1039.217,17.003
2015/06/27 10:20:00,1039.217,17.010
2015/06/27 10:30:00,1038.983,17.010
2015/06/27 10:40:00,1038.808,17.010
2015/06/27 10:50:00,1038.633,17.010
2015/06/27 11:00:00,1038.458,17.010
2015/06/27 11:10:00,1038.458,17.010
2015/06/27 11:20:00,1038.458,17.010
2015/06/27 11:30:00,1038.225,17.010
2015/06/27 11:40:00,1038.225,17.010
2015/06/27 11:50:00,1038.050,17.010
2015/06/27 12:00:00,1037.992,17.017
2015/06/27 12:10:00,1038.050,17.010
2015/06/27 12:20:00,1037.817,17.017
2015/06/27 12:30:00,1037.817,17.017
2015/06/27 12:40:00,1037.642,17.017
2015/06/27 12:50:00,1037.467,17.017
2015/06/27 13:00:00,1037.233,17.017
2015/06/27 13:10:00,1037.233,17.017
2015/06/27 13:20:00,1036.883,17.017
2015/06/27 13:30:00,1036.883,17.017
2015/06/27 13:40:00,1036.708,17.017
2015/06/27 13:50:00,1036.708,17.017
2015/06/27 14:00:00,1036.475,17.017
2015/06/27 14:10:00,1036.475,17.017
2015/06/27 14:20:00,1035.892,17.017
2015/06/27 14:30:00,1036.125,17.017
2015/06/27 14:40:00,1035.892,17.017
2015/06/27 14:50:00,1035.892,17.017
2015/06/27 15:00:00,1035.717,17.023
2015/06/27 15:10:00,1035.892,17.023
2015/06/27 15:20:00,1035.483,17.023
2015/06/27 15:30:00,1035.483,17.023
2015/06/27 15:40:00,1035.308,17.023
2015/06/27 15:50:00,1034.958,17.023
2015/06/27 16:00:00,1034.725,17.023
2015/06/27 16:10:00,1034.725,17.023
2015/06/27 16:20:00,1034.550,17.023
2015/06/27 16:30:00,1034.142,17.023
2015/06/27 16:40:00,1034.142,17.023
2015/06/27 16:50:00,1034.142,17.023
2015/06/27 17:00:00,1034.142,17.023
2015/06/27 17:10:00,1033.617,17.030
2015/06/27 17:20:00,1033.617,17.030
2015/06/27 17:30:00,1033.442,17.030
2015/06/27 17:40:00,1033.442,17.030
2015/06/27 17:50:00,1033.442,17.030
2015/06/27 18:00:00,1033.267,17.030
2015/06/27 18:10:00,1032.858,17.030
2015/06/27 18:20:00,1033.033,17.030
2015/06/27 18:30:00,1033.033,17.030
2015/06/27 18:40:00,1032.683,17.030
2015/06/27 18:50:00,1032.683,17.030
2015/06/27 19:00:00,1032.858,17.030
2015/06/27 19:10:00,1032.683,17.030
2015/06/27 19:20:00,1032.508,17.030
2015/06/27 19:30:00,1032.683,17.037
2015/06/27 19:40:00,1032.508,17.037
2015/06/27 19:50:00,1032.275,17.037
2015/06/27 20:00:00,1031.925,17.037
2015/06/27 20:10:00,1031.925,17.037
2015/06/27 20:20:00,1031.925,17.037
2015/06/27 20:30:00,1032.275,17.037
2015/06/27 20:40:00,1032.508,17.037
2015/06/27 20:50:00,1032.508,17.037
2015/06/27 21:00:00,1032.100,17.037
2015/06/27 21:10:00,1032.100,17.037
2015/06/27 21:20:00,1032.100,17.037
2015/06/27 21:30:00,1032.275,17.037
2015/06/27 21:40:00,1032.100,17.037
2015/06/27 21:50:00,1032.100,17.037
2015/06/27 22:00:00,1032.683,17.037
2015/06/27 22:10:00,1033.033,17.037
2015/06/27 22:20:00,1033.208,17.043
2015/06/27 22:30:00,1033.033,17.043
2015/06/27 22:40:00,1033.208,17.043
2015/06/27 22:50:00,1033.208,17.043
2015/06/27 23:00:00,1033.383,17.043
2015/06/27 23:10:00,1033.208,17.043
2015/06/27 23:20:00,1033.208,17.043
2015/06/27 23:30:00,1033.033,17.037
2015/06/27 23:40:00,1032.858,17.037
